,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
98,98,353447001,18012775112027496,@pressed.bysarita KILLED IT!!!! 😍,2023-12-21,33.0,-0.6598,Negative
99,99,10274545404,18064154278478636,Beautiful!💕,2023-12-21,11.0,0.8588,Positive
100,100,11140999598,17994724739390371,What happened?,2023-12-29,14.0,0.0,Neutral
101,101,2951818639,18415153645035209,@aliciawardell He was on some podcast saying he didn’t know who she was when he met her and said he’s “the catch.” 🤣,2023-12-29,116.0,0.4939,Positive
102,102,34441303,18012267115923813,@_meka_mek period!,2023-12-29,18.0,0.0,Neutral
103,103,48415725836,18030231007744319,The Queen 👸🏾 and some dude.,2023-12-30,27.0,0.0,Neutral
104,104,41650781270,17936314985684281,😍😍,2023-12-28,2.0,0.7184,Positive
105,105,8017301810,18037285741643332,LOVE THIS PIC😂🔥😍,2023-12-28,16.0,0.8567,Positive
106,106,831420673,17973835541645738,Simone looks so beautiful... oh her husband is there too,2023-12-29,56.0,0.7177,Positive
107,107,8501598,17867365491047134,Ah….so that’s Mr Biles,2023-12-26,22.0,0.0,Neutral
108,108,1959069083,18112393432345266,Red flag on that one,2023-12-27,20.0,0.0,Neutral
109,109,316896681,18005962409040739,They looking doper in this one picture than 99% of the people hating have ever looked in life. 😂,2023-12-27,96.0,-0.1027,Negative
110,110,1654208823,18008064209490697,Simone and who,2023-12-27,14.0,0.0,Neutral
111,111,5837753332,18022933291758054,"If I saw these two out in public, I’d honest-to-God say, “oh my god, that’s Simone Biles” I would think the guy was like her assistant or something",2023-12-27,147.0,0.5574,Positive
112,112,264853518,17953949978707171,Don't let these people break u guys up,2023-12-26,38.0,0.0,Neutral
113,113,18457203,17979383396468619,Simone you made history… he’s an average NFL player. You are the catch here,2023-12-26,75.0,0.0,Neutral
114,114,28899736,18237404971223145,It's Mrs. And Mr. Simone Biles! 😍,2023-12-26,33.0,0.5093,Positive
115,115,17086811205,18035780218726236,"@phresh_princesse I think what you said is what folks having a problem with. He was his own personal hype man in that interview and not once uplifted his wife. It was all about him. He was giving he the catch and she lucky to have him vibe. I do hope she was ""listening""  and not just with her heart.",2023-12-26,300.0,0.8625,Positive
116,116,349326985,18035982520655059,"Oh look, Simone Biles and Mr. Simone Biles!!",2023-12-26,44.0,0.0,Neutral
117,117,6052517182,18009956474497319,"@detriniboss During the onterview, he talks about how she identified some things in his game that needed improvement and suggested he see a sports psychologist. He also talks about how much of an inspiration she is and how her mentality has helped him a lot. Praise means to show admiration. You don't have to be a fan to admire your spouse. 🙄",2023-12-26,343.0,0.9578,Positive
118,118,6052517182,17988184181331119,@lvjonjon215 ratio?,2023-12-26,19.0,0.0,Neutral
119,119,6052517182,18088652701393513,"@ohthatchristel Did you even watch the other 58 minutes of the podcast or just ran with the 2-minute promo clip? Please go watch the entire interview and you see that those comments were made as light-hearted banter between ""the guys"" as the hosts were teasing him about Simone. Even the podcast host has released a video explaining how those comments were taken out of context. You're acting like this man is at home eating cereal and playing video games all day while living off Simone. You do realize he has a 7 million net worth??? What I'm most impressed about is his journey into the NFL. He was never a stand-out player in high school or college and didn't get drafted. He worked his behind off cleaning lockers for the KC Chiefs football team just to earn money to pay for his dorm room during summers. He was also cut from teams several times, but kept working hard to earn his spot. A lot of young men can learn a lot about perseverance and resiliency from this man. He shares his life story with such humility, self-reflection, and gratefulness. Ya'll done created a whole life story about this man when in actuality, his character is spotlighted throughout that entire interview. Simone knows and respects, and can relate to that man's journey which is why she married him. Ya'll need to stop running with headlines and snippets and really read/watch things in their entirety because most of the time, these snippets are edited out to deceive and draw in viewers.",2023-12-26,1475.0,0.8781,Positive
120,120,344776747,18008187581179649,@tinabraids aye I had to troll just a lil bit 😭,2023-12-26,47.0,-0.4767,Negative
121,121,4261253,17958389195699850,Look! It’s the LEGENDARY Simone Biles (and her husband),2023-12-26,55.0,0.0,Neutral
122,122,11473663,18031874617740570,Babe u deserve more than this loser!!!!! ❤️❤️,2023-12-26,45.0,-0.7578,Negative
123,123,865315692,18112302571353877,@drewdelv also read these LOLLLL,2023-12-25,32.0,0.0,Neutral
124,124,5775754167,18028409998830849,@bvby____ its all over tiktok.,2023-12-25,30.0,0.0,Neutral
125,125,189182570,18068403334459551,Whose Jonathan Owen ?,2023-12-25,21.0,0.0,Neutral
126,126,14705586,17998607582458698,He’s trash … simple,2023-12-25,19.0,0.0,Neutral
127,127,175223423,18112384141356023,"I don’t think everyone is bitter, it was just in poor taste for him to say that. And the internet has spoken. 🤷🏻‍♀️",2023-12-25,115.0,-0.7096,Negative
128,128,29157572193,18025540228863265,tell him we still dk his name,2023-12-25,29.0,0.0,Neutral
129,129,52914836,17991776111291341,"People so worried and nosey as hell, always up in these celebrities lives. Commenting like she even gives af what you think on HER marriage. Lmao get over yourselves.",2023-12-25,166.0,-0.4131,Negative
130,130,472250881,18009627164138345,@nickdemars Your comment is cringe.,2023-12-25,35.0,0.0,Neutral
