,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
136,136,10734658434,18040497286717225,@bmack2007_ I meant joined,2024-01-15,26.0,0.0,Neutral
137,137,1619727136,17892936155895904,stranger danger Simone,2024-01-15,22.0,-0.5267,Negative
138,138,45650653489,18020481847964848,interceptions is more of a cornerback thing lmao,2024-01-16,48.0,0.5994,Positive
139,139,45307662927,17861565183081742,Naw we do need to mine ours and most of the women worried not even married and can’t find they baby fathers its sick she happy so who cares if most of the people went this hard for they own relationships they probably wouldn’t have time to worry about them,2024-01-17,256.0,-0.2315,Negative
140,140,45307662927,18058090237508441,I knew him before her soooooo,2024-01-17,29.0,0.0,Neutral
141,141,7075982064,17895880028882117,"Damn, he prettier than she is!!😭😭😭😭",2024-01-17,35.0,-0.9115,Negative
142,142,30102854,18037437595710478,You are NOT the catch!!!!! OMG.,2024-01-19,31.0,0.0,Neutral
143,143,30102854,18005452829093671,Didn't even know who you are...VERY sad.,2024-01-19,40.0,-0.4767,Negative
144,144,57420475281,18047263054598524,Ur literally apart of his wife’s fan club too buddy,2024-01-19,51.0,0.3182,Positive
145,145,55283233,18020811547985343,"I was watching the pivot interview today and you both seem so humble ❤️ y'all seem to compliment each other, it's beautiful!!",2024-01-20,125.0,0.8217,Positive
146,146,204633248,18022926415806811,Love yall black love!,2024-01-22,21.0,0.8655,Positive
147,147,214223829,17919809240846072,Mr Biles,2024-01-25,8.0,0.0,Neutral
148,148,50558954351,18076708348450621,❤️❤️❤️😍😍😍😍,2024-01-27,10.0,0.9001,Positive
149,149,54292831,18081905968419134,@demariusgrant63 oh shit that’s crazy,2024-01-02,37.0,-0.7184,Negative
150,150,3237268736,18290706046194539,@onlyynya nigga do your makeup so you actually look decent,2024-01-02,58.0,0.0,Neutral
151,151,9991031869,18015398018020848,@demariusgrant63 awww someone’s hurt my nigga stop replying to me idgaf dam you so worried about me worry bout that weight,2024-01-02,122.0,-0.8851,Negative
152,152,1285872571,18010001054123828,This a hood rat Simone leave his basic ass,2024-01-02,42.0,-0.5719,Negative
153,153,28909426,18069176296422804,@demariusgrant63 watch out his fan club arrived,2024-01-02,47.0,0.3182,Positive
154,154,265377418,17996532893414498,Simone Biles and her husband,2024-01-02,28.0,0.0,Neutral
